FID;NOME;GEOCODIGO;POINT_X;POINT_Y;NOMEUF;SIGLAUF
3526;Chupinguaia;1100924;-60.898581;-12.537157;RONDONIA;RO
3527;São Sebastião do Passé;2929503;-38.498119;-12.516993;BAHIA;BA
3528;Conceição da Feira;2908200;-38.999297;-12.506562;BAHIA;BA
3529;Brejolândia;2904407;-43.788131;-12.499828;BAHIA;BA
3530;Itaberaba;2914703;-40.259745;-12.497351;BAHIA;BA
3531;Tabocas do Brejo Velho;2930907;-44.155675;-12.481517;BAHIA;BA
3532;Mata de São João;2921005;-38.147970;-12.478165;BAHIA;BA
3533;Alta Floresta D'oeste;1100015;-62.274912;-12.470306;RONDONIA;RO
3534;Rafael Jambeiro;2925956;-39.585556;-12.469455;BAHIA;BA
3535;Santo Estêvão;2928802;-39.270869;-12.468029;BAHIA;BA
3536;Brasnorte;5101902;-57.998953;-12.423650;MATO GROSSO;MT
3537;Vera;5108501;-55.345329;-12.422066;MATO GROSSO;MT
3538;Amélia Rodrigues;2901106;-38.709500;-12.421491;BAHIA;BA
3539;Seabra;2929909;-41.884377;-12.419967;BAHIA;BA
3540;Lençóis;2919306;-41.334774;-12.419573;BAHIA;BA
3541;São Gonçalo dos Campos;2929305;-38.942409;-12.417775;BAHIA;BA
3542;Alvorada;1700707;-49.111665;-12.407720;TOCANTINS;TO
3543;Sandolândia;1718840;-49.876126;-12.401502;TOCANTINS;TO
3544;Terra Nova;2931707;-38.598437;-12.389120;BAHIA;BA
3545;Taguatinga;1720903;-46.554940;-12.387170;TOCANTINS;TO
3546;Lajedinho;2919009;-40.971833;-12.382982;BAHIA;BA
3547;Antônio Cardoso;2901700;-39.147219;-12.380089;BAHIA;BA
3548;São Francisco do Guaporé;1101492;-63.122618;-12.368252;RONDONIA;RO
3549;Pojuca;2925204;-38.247709;-12.356798;BAHIA;BA
3550;Conceição do Jacuípe;2908507;-38.739868;-12.337590;BAHIA;BA
3551;Catu;2907509;-38.413515;-12.332726;BAHIA;BA
3552;Novo Santo Antônio;5106315;-50.889378;-12.316777;MATO GROSSO;MT
3553;Itanagra;2915908;-38.052921;-12.312109;BAHIA;BA
3554;Ipecaetá;2913804;-39.330145;-12.302088;BAHIA;BA
3555;Oliveira dos Brejinhos;2923209;-42.728605;-12.280791;BAHIA;BA
3556;Catolândia;2907400;-44.702380;-12.280723;BAHIA;BA
3557;Teodoro Sampaio;2931400;-38.621078;-12.265196;BAHIA;BA
