"group.all" "pa" "lon" "lat" "bio1" "bio2"
"217" 2 0 -52.4166666666667 -14.0833333333333 248 137
"218" 2 0 -53.9166666666667 -25.4166666666667 197 131
"219" 1 0 -52.0833333333333 -7.08333333333333 248 131
"220" 3 0 -45.75 -10.0833333333333 250 137
"221" 3 0 -44.25 -15.0833333333333 231 127
"222" 1 0 -45.5833333333333 -7.75 258 119
"223" 2 0 -47.25 -17.25 223 125
"224" 1 0 -51.5833333333333 -24.5833333333333 184 121
"225" 2 0 -44.25 -10.75 239 154
"226" 2 0 -56.5833333333333 -17.5833333333333 262 116
"227" 1 0 -56.5833333333333 -28.0833333333333 214 118
"228" 3 0 -39.75 -5.91666666666666 258 100
"229" 1 0 -52.5833333333333 -9.75 256 137
"230" 3 0 -68.0833333333333 -13.9166666666667 242 105
"231" 3 0 -46.75 -18.9166666666667 217 112
"232" 3 0 -42.9166666666667 -9.25 260 140
"233" 1 0 -54.75 -10.25 253 145
"234" 2 0 -66.75 -17.25 124 168
"235" 1 0 -47.9166666666667 -6.58333333333333 250 115
"236" 2 0 -58.4166666666667 -28.4166666666667 208 117
"237" 1 0 -52.5833333333333 -21.5833333333333 231 122
"238" 3 0 -47.25 -15.9166666666667 217 119
"239" 3 0 -58.25 -14.5833333333333 235 135
"240" 2 0 -51.5833333333333 -29.75 194 95
"241" 3 0 -41.0833333333333 -16.25 215 107
"242" 2 0 -71.5833333333333 -9.25 255 110
"243" 1 0 -47.4166666666667 -6.58333333333333 255 119
"244" 2 0 -41.0833333333333 -4.91666666666666 249 112
"245" 1 0 -61.4166666666667 -10.25 243 124
"246" 1 0 -48.0833333333333 -3.91666666666666 266 105
"247" 3 0 -66.5833333333333 -8.75 259 108
"248" 1 0 -44.75 -3.75 274 98
"249" 1 0 -56.25 -12.9166666666667 251 138
"250" 2 0 -50.75 -13.75 264 118
"251" 2 0 -57.75 -13.0833333333333 245 138
"252" 1 0 -69.5833333333333 -2.25 256 90
"253" 2 0 -48.5833333333333 -15.25 243 100
"254" 1 0 -52.25 -12.5833333333333 254 136
"255" 1 0 -69.4166666666667 -1.91666666666666 255 90
"256" 2 0 -64.4166666666667 -8.91666666666666 261 104
"257" 2 0 -58.4166666666667 -16.0833333333333 258 127
"258" 3 0 -71.75 -5.41666666666666 257 100
"259" 3 0 -38.75 -3.91666666666666 252 76
"260" 3 0 -44.5833333333333 -11.4166666666667 246 153
